Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Bob Kauffman,26,BUF,SF,77,,39.6,6.9,13.8,.505,3.6,4.7,.780,11.1,5.1,2.7,17.5,AS
Nate Thurmond,31,GSW,C,79,,43.3,6.5,14.7,.446,4.0,5.6,.718,17.1,3.5,3.0,17.1,"MVP-9,AS,DEF2"
Mike Newlin,24,HOU,SG,82,,32.4,6.5,14.7,.443,4.0,4.5,.886,4.1,5.0,3.7,17.0,
Dave DeBusschere,32,NYK,PF,77,,36.7,6.9,15.9,.435,2.5,3.4,.746,10.2,3.4,2.8,16.3,"MVP-11,AS,DEF1"
Happy Hairston,30,LAL,PF,28,,33.5,5.6,11.7,.482,5.0,6.4,.787,13.2,2.4,2.8,16.3,
Walt Bellamy,33,ATL,C,74,,37.9,6.1,12.2,.505,3.8,7.1,.538,13.0,2.4,3.3,16.1,
Bill Bradley,29,NYK,SF,82,,36.6,7.0,15.3,.459,2.1,2.4,.871,3.7,4.5,3.3,16.1,AS
Connie Hawkins,30,PHO,SF,75,,36.9,5.9,12.3,.479,4.3,5.4,.797,8.5,4.1,3.1,16.1,AS
Curtis Rowe,23,DET,PF,81,,37.1,6.8,13.0,.519,2.6,4.0,.642,9.4,2.1,2.4,16.1,
Cazzie Russell,28,GSW,SF,80,,30.4,6.8,14.8,.458,2.2,2.5,.864,4.4,2.3,2.1,15.7,
Lucius Allen,25,MIL,PG,80,,33.7,6.8,14.1,.484,1.8,2.5,.715,3.5,5.3,2.4,15.5,MVP-19
Earl Monroe,28,NYK,SG,75,,31.6,6.6,13.5,.488,2.3,2.8,.822,3.3,3.8,2.6,15.5,
Oscar Robertson,34,MIL,PG,73,,37.5,6.1,13.5,.454,3.3,3.8,.847,4.9,7.5,2.3,15.5,
John Block,28,2TM,PF,73,48,28.0,5.4,12.1,.441,4.1,5.2,.794,7.7,1.5,3.3,14.8,AS
Randy Smith,24,BUF,SG,82,,31.7,6.2,14.1,.443,2.3,3.2,.727,4.8,5.1,3.0,14.8,
Tom Van Arsdale,29,2TM,SF,79,30,29.3,5.6,13.2,.427,3.2,3.9,.812,4.5,1.9,2.8,14.4,
John Johnson,25,CLE,SF,82,,34.3,6.0,13.9,.430,2.4,3.3,.734,6.7,3.8,3.0,14.4,
Herm Gilliam,26,ATL,PG,76,,36.1,6.2,13.3,.468,1.6,2.0,.820,5.3,6.3,3.4,14.0,
Kevin Loughery,32,PHI,SG,32,21,29.8,5.3,13.3,.396,3.3,4.1,.823,3.5,4.6,3.3,13.9,
Norm Van Lier,25,CHI,PG,80,,36.0,5.9,13.3,.445,2.1,2.6,.787,5.5,7.1,3.4,13.9,DEF2
Dick Snyder,28,SEA,SG,82,,37.3,5.8,12.5,.463,2.3,2.6,.861,3.9,3.8,2.6,13.8,
Fred Brown,24,SEA,SG,79,,29.4,6.0,13.1,.455,1.5,1.9,.818,4.0,5.5,2.9,13.5,
Sam Lacey,24,KCO,C,79,,37.1,6.0,12.6,.474,1.6,2.3,.708,11.8,2.4,3.6,13.5,
Lloyd Neal,22,POR,C,82,,33.2,5.5,11.2,.494,2.3,3.6,.638,11.8,1.8,3.7,13.4,ROY-2
Paul Silas,29,BOS,PF,80,,32.7,5.0,10.6,.470,3.3,4.8,.700,13.0,3.1,2.5,13.3,DEF2
Wilt Chamberlain,36,LAL,C,82,,43.2,5.2,7.1,.727,2.8,5.5,.510,18.6,4.5,2.3,13.2,"MVP-4,AS,DEF1"
Don Chaney,26,BOS,SG,79,,31.5,5.2,10.9,.482,2.7,3.4,.787,5.7,2.8,3.5,13.1,DEF2
Calvin Murphy,24,HOU,PG,77,,22.0,4.9,10.6,.465,3.1,3.5,.888,1.9,3.4,2.7,13.0,
John Brisker,25,SEA,SF,70,,23.3,5.0,11.6,.435,2.8,3.4,.822,4.6,2.1,2.4,12.8,
Rick Roberson,25,CLE,C,62,,34.3,5.0,11.4,.433,2.7,4.7,.576,11.2,2.2,4.0,12.6,
Wes Unseld,26,BAL,C,79,,39.1,5.3,10.8,.493,1.9,2.7,.703,15.9,4.4,2.1,12.5,"MVP-14,AS"
Leroy Ellis,32,2TM,C,79,69,32.9,5.3,12.3,.434,1.6,2.0,.801,9.8,1.8,2.5,12.3,
Jim Barnett,28,GSW,PG,82,,27.0,4.8,10.3,.467,2.2,2.6,.843,3.1,3.7,1.8,11.8,
Nate Williams,22,KCO,SG,80,,24.7,5.2,10.9,.477,1.3,1.7,.797,4.2,1.6,3.4,11.8,
Otto Moore,26,HOU,C,82,,33.1,5.1,10.5,.487,1.5,2.6,.602,10.6,2.0,2.9,11.7,
Jim Fox,29,SEA,C,74,,33.0,4.3,8.3,.515,2.9,3.6,.808,11.2,2.4,3.2,11.4,
George Trapp,24,ATL,PF,77,,24.1,4.7,10.7,.436,1.9,2.5,.773,5.9,1.6,3.6,11.3,
Manny Leaks,27,PHI,C,82,63,30.9,4.6,11.4,.404,1.8,2.4,.720,8.3,1.2,2.3,11.0,
Willis Reed,30,NYK,C,69,,27.2,4.8,10.2,.474,1.3,1.8,.742,8.6,1.8,3.0,11.0,
Don Nelson,32,BOS,SF,72,,19.8,4.3,9.0,.476,2.2,2.6,.846,4.4,1.4,2.2,10.8,
Freddie Boyd,22,PHI,PG,82,50,28.7,4.4,11.3,.392,1.7,2.4,.680,2.6,3.7,2.2,10.5,
Clem Haskins,29,PHO,SG,77,,20.5,4.4,9.5,.464,1.7,2.0,.833,2.2,2.6,1.9,10.5,
Jim Washington,29,ATL,PF,75,,37.8,4.1,9.5,.432,2.2,3.0,.728,10.7,2.3,3.4,10.4,
Bill Bridges,33,2TM,PF,82,10,35.0,4.1,8.8,.461,2.2,3.1,.702,11.0,2.7,3.6,10.3,
Gar Heard,24,2TM,PF,81,,19.2,4.3,10.2,.425,1.4,2.2,.652,5.6,0.7,2.1,10.1,
Jerry Sloan,30,CHI,SG,69,,35.0,4.4,10.6,.411,1.4,1.9,.707,6.9,2.2,3.4,10.1,
Dick Garrett,26,BUF,SG,78,,23.1,4.4,10.4,.419,1.2,1.4,.873,2.7,2.8,2.8,10.0,
Ollie Johnson,23,POR,SF,78,,27.4,3.9,7.9,.497,2.0,2.6,.757,5.3,2.6,2.1,9.9,
Jerry Lucas,32,NYK,PF,71,,28.2,4.4,8.6,.513,1.1,1.4,.800,7.2,4.5,2.2,9.9,
John Trapp,27,2TM,SF,44,11,20.2,3.9,9.5,.407,2.0,2.8,.738,4.5,1.1,3.4,9.8,
John Mengelt,23,2TM,SG,79,,20.8,4.1,8.2,.492,1.6,2.0,.794,2.3,1.9,1.9,9.7,
Stu Lantz,26,DET,SG,51,,31.4,3.6,8.9,.407,2.4,2.9,.800,3.4,2.7,2.3,9.6,
Jon McGlocklin,29,MIL,SG,80,,24.4,4.4,8.7,.502,0.8,0.9,.863,2.0,3.0,1.5,9.6,
Mike Davis,26,BAL,SG,13,,21.8,3.8,9.1,.424,1.8,1.9,.920,2.7,1.5,3.5,9.5,
Dwight Davis,23,CLE,PF,81,,26.6,3.6,9.2,.392,2.2,2.7,.793,7.0,1.5,3.7,9.4,
Don Adams,25,2TM,SF,74,,25.3,3.6,9.2,.391,2.0,2.5,.788,6.0,1.6,3.1,9.1,
Matt Guokas,28,KCO,SG,79,,36.0,4.1,7.2,.570,0.9,1.1,.822,3.1,5.1,2.4,9.1,
Curtis Perry,24,MIL,PF,67,,31.3,4.0,8.6,.461,1.2,1.9,.659,9.6,1.8,3.7,9.1,
Keith Erickson,28,LAL,SF,76,,25.3,3.9,9.2,.430,1.2,1.4,.809,4.4,3.2,2.5,9.0,
Charlie Davis,23,2TM,SG,75,,18.9,3.5,8.4,.417,1.7,2.2,.774,1.5,2.5,2.6,8.7,
Zaid Abdul-Aziz,26,HOU,C,48,,18.8,3.1,7.8,.397,2.5,3.4,.735,6.3,1.1,2.3,8.7,
Fred Foster,26,DET,SF,63,,23.2,3.9,10.0,.388,1.0,1.4,.701,2.9,1.5,2.4,8.7,
Bob Weiss,30,CHI,PG,82,,25.4,3.4,8.0,.426,1.9,2.3,.841,1.8,3.6,1.8,8.7,
Clifford Ray,24,CHI,C,73,,27.5,3.5,7.1,.492,1.6,2.6,.619,10.9,3.7,3.2,8.6,
Don Kojis,34,KCO,SF,77,,16.1,3.6,7.5,.480,1.4,1.8,.774,2.6,1.0,1.7,8.5,
Rich Rinaldi,23,BAL,SG,33,,19.6,3.5,8.6,.408,1.5,1.9,.750,2.1,1.5,1.2,8.5,
Ron Riley,22,KCO,PF,74,,22.1,3.7,8.6,.431,1.1,1.6,.681,6.9,1.0,3.1,8.4,
Willie Norwood,25,DET,SF,79,,16.2,3.2,6.4,.494,1.9,2.8,.684,4.1,0.7,2.3,8.3,
Bingo Smith,26,CLE,SG,73,,14.6,3.7,8.3,.444,0.9,1.1,.790,2.7,1.5,1.1,8.2,
Phil Jackson,27,NYK,PF,80,,17.4,3.1,6.9,.443,1.9,2.4,.790,4.3,1.2,2.7,8.1,
John Hummer,24,BUF,PF,66,,23.4,3.1,7.0,.444,1.7,3.1,.561,4.9,2.1,2.8,8.0,
Don May,27,2TM,SF,58,0,15.8,3.3,7.3,.446,1.3,1.6,.806,3.6,1.1,2.3,7.8,
Dave Wohl,23,2TM,PG,78,,24.8,3.3,7.3,.447,1.3,1.7,.774,1.4,4.2,2.9,7.8,
Gus Johnson,34,PHO,PF,21,,19.9,3.3,8.6,.381,1.2,1.7,.694,6.5,1.5,2.6,7.8,
Cliff Meely,25,HOU,PF,82,,20.7,3.3,8.0,.408,1.1,1.7,.672,6.0,1.1,3.2,7.7,
Jeff Halliburton,23,2TM,SG,55,0,14.3,3.1,7.2,.434,1.3,1.6,.807,2.0,1.7,1.9,7.5,
Pat Riley,27,LAL,SG,55,,14.6,3.0,7.1,.428,1.2,1.5,.793,1.2,1.5,2.3,7.3,
Fred Hilton,25,BUF,SG,59,,12.4,3.2,8.4,.387,0.7,0.9,.774,1.7,1.3,1.7,7.2,
Greg Smith,26,2TM,SF,76,,21.2,3.1,6.4,.482,1.0,1.7,.586,5.0,1.6,2.9,7.1,
Johnny Green,39,KCO,PF,66,,18.9,2.9,4.8,.599,1.3,2.0,.679,5.5,0.9,2.8,7.1,
Mo Layton,24,PHO,SG,65,,15.2,2.9,6.7,.431,1.4,1.8,.756,1.2,2.1,2.0,7.1,
Flynn Robinson,31,2TM,SG,44,,14.3,3.0,6.5,.462,0.7,0.9,.821,1.4,1.9,1.6,6.8,
Lamar Green,25,PHO,PF,80,,25.6,2.8,6.5,.431,1.1,1.5,.754,9.3,1.1,3.3,6.7,
Rick Adelman,26,POR,PG,76,,24.0,2.8,6.9,.408,1.0,1.3,.716,2.1,3.9,2.0,6.6,
Butch Beard,25,SEA,PG,73,,19.2,2.6,6.0,.439,1.4,1.9,.714,2.4,3.4,1.9,6.6,
Kevin Porter,22,BAL,PG,71,,17.1,2.9,6.4,.455,0.9,1.4,.614,1.0,3.3,2.9,6.6,
Lee Winfield,25,SEA,PG,53,,20.0,2.7,6.3,.431,1.2,2.0,.574,2.4,3.5,1.7,6.6,
Steve Bracey,22,ATL,PG,70,,15.0,2.7,5.6,.486,1.0,1.6,.664,1.5,1.8,1.8,6.5,
Barry Clemens,29,CLE,SF,72,,15.5,2.9,5.6,.516,0.7,0.9,.779,2.9,1.6,1.9,6.5,
Chris Ford,24,DET,SG,74,,20.8,2.8,5.9,.479,0.8,1.3,.645,3.6,2.6,1.8,6.4,ROY-3
Stan Love,23,BAL,PF,72,,13.8,2.6,6.1,.436,1.1,1.4,.790,4.2,0.6,2.4,6.4,
Jim Price,23,LAL,PG,59,,14.0,2.7,6.1,.440,1.0,1.2,.822,1.9,1.6,2.0,6.4,ROY-4
Joe Ellis,28,GSW,PF,74,,14.2,2.7,6.6,.409,0.9,1.3,.742,3.8,1.2,1.9,6.3,
Clyde Lee,28,GSW,PF,66,,22.4,2.6,5.5,.466,1.1,2.0,.565,9.1,0.5,2.8,6.3,
Bud Stallworth,23,SEA,SF,77,,15.9,2.6,6.8,.379,1.1,1.5,.754,2.9,0.8,1.8,6.3,ROY-5
Terry Dischinger,32,POR,SF,63,,15.4,2.6,5.4,.476,1.0,1.5,.667,3.0,1.6,2.0,6.1,
Howard Komives,31,BUF,PG,67,,21.9,2.4,6.4,.380,1.3,1.5,.867,1.8,3.6,2.3,6.1,
Corky Calhoun,22,PHO,SF,82,,24.7,2.6,5.5,.469,0.9,1.2,.740,4.1,0.9,2.6,6.0,
Dave Stallworth,31,BAL,SF,73,,16.7,2.5,6.0,.414,1.1,1.4,.772,3.2,1.5,1.9,6.0,
Ron Williams,28,GSW,PG,73,,13.9,2.5,5.6,.440,1.0,1.1,.904,1.1,1.6,1.5,6.0,
Larry Steele,23,POR,SG,66,,19.7,2.4,5.0,.483,1.1,1.3,.798,2.3,2.4,2.7,5.9,
Jim Cleamons,23,CLE,PG,80,,17.4,2.4,5.3,.454,0.9,1.3,.743,2.1,2.6,1.4,5.7,
Dean Meminger,24,NYK,SG,80,,18.2,2.4,4.6,.515,1.0,1.6,.628,2.9,1.7,1.4,5.7,
Cornell Warner,24,2TM,C,72,,19.0,2.4,5.8,.413,0.8,1.3,.656,7.3,1.0,2.5,5.7,
Hal Greer,36,PHI,PG,38,17,22.3,2.4,6.1,.392,0.8,1.0,.821,2.8,2.9,2.0,5.6,
Jim McDaniels,24,SEA,C,68,,16.1,2.3,5.7,.399,1.0,1.5,.700,5.1,1.1,2.1,5.6,
Dave Sorenson,24,2TM,PF,58,0,13.0,2.1,5.1,.423,1.1,1.6,.711,3.6,0.6,1.8,5.4,
Terry Driscoll,25,2TM,C,60,,16.1,2.3,5.5,.428,0.7,1.0,.694,5.0,0.9,2.4,5.4,
Charles Johnson,23,GSW,SG,70,,12.7,2.4,5.7,.428,0.5,0.7,.717,1.9,1.7,1.5,5.4,
Dale Schlueter,27,PHI,C,78,10,14.6,2.1,4.1,.524,1.1,1.6,.699,4.5,1.3,2.1,5.4,
Mickey Davis,22,MIL,SF,74,,14.1,2.1,4.7,.438,1.0,1.2,.826,3.1,1.0,1.6,5.1,
Howard Porter,24,CHI,PF,43,,9.5,2.3,5.0,.452,0.5,0.7,.759,2.7,0.4,1.2,5.1,
Mike Price,24,PHI,SG,57,5,13.2,2.2,5.3,.415,0.7,0.8,.809,2.1,1.2,1.9,5.1,
Wali Jones,30,MIL,SG,27,,15.5,2.2,5.4,.407,0.6,0.7,.889,1.1,2.1,1.4,5.0,
Walt Hazzard,30,2TM,PG,55,,13.9,1.9,4.7,.418,0.9,1.0,.825,1.6,2.3,2.0,4.7,
Bill Hewitt,28,BUF,PF,73,,18.2,2.1,5.0,.418,0.6,1.0,.554,5.0,1.5,2.1,4.7,
Kenny McIntosh,24,2TM,SF,59,,19.3,1.9,5.8,.337,0.7,1.1,.597,3.9,0.9,1.7,4.6,
Mel Counts,31,2TM,C,66,0,10.0,2.0,4.5,.449,0.6,0.9,.672,3.8,1.0,1.6,4.6,
Dennis Awtrey,24,2TM,C,82,2,20.6,1.8,3.7,.479,1.0,1.9,.562,5.5,2.7,2.9,4.6,
Jim Davis,31,DET,C,73,,10.6,1.8,3.5,.510,1.0,1.6,.632,3.6,0.8,1.7,4.6,
Paul McCracken,22,HOU,SG,24,,12.7,1.8,3.7,.494,1.0,1.6,.590,2.1,0.7,1.3,4.6,
Steve Kuberski,25,BOS,SF,78,,9.8,1.8,4.4,.403,0.8,1.1,.774,2.5,0.3,1.2,4.4,
LaRue Martin,22,POR,C,77,,12.9,1.9,4.8,.396,0.6,1.0,.649,4.6,0.5,2.1,4.4,
Henry Bibby,23,NYK,PG,55,,8.6,1.4,3.7,.380,1.3,1.6,.849,1.5,1.2,1.2,4.2,
Bob Christian,26,ATL,C,55,,13.8,1.5,2.8,.548,1.1,1.4,.759,5.5,0.9,2.0,4.2,
Jim King,31,CHI,SG,65,,12.1,1.8,4.0,.441,0.7,0.8,.846,1.2,1.2,1.2,4.2,
Mike Ratliff,21,KCO,C,58,,11.7,1.7,4.1,.417,0.8,1.4,.536,3.3,0.7,1.9,4.2,
Paul Westphal,22,BOS,SG,60,,8.0,1.5,3.5,.420,1.1,1.4,.779,1.1,1.2,1.5,4.1,
Joby Wright,22,SEA,PF,77,,12.1,1.7,3.6,.478,0.5,1.2,.416,2.8,0.5,2.1,3.9,
Stan McKenzie,28,2TM,SF,33,,8.9,1.5,3.6,.403,0.9,1.1,.811,1.7,0.7,1.3,3.8,
Dick Barnett,36,NYK,SG,51,,10.1,1.7,4.4,.389,0.3,0.6,.533,0.8,1.0,1.0,3.8,
Tom Boerwinkle,27,CHI,C,8,,22.0,1.1,3.0,.375,1.5,2.5,.600,6.8,5.0,2.8,3.8,
Travis Grant,23,LAL,SF,33,,4.6,1.5,3.5,.440,0.7,0.8,.885,1.6,0.2,0.6,3.8,
John Tresvant,33,BAL,PF,55,,9.8,1.5,3.3,.467,0.7,1.1,.695,2.8,0.6,1.8,3.8,
Rowland Garrett,22,CHI,SF,35,,6.0,1.5,3.4,.441,0.6,0.9,.677,1.7,0.2,0.8,3.6,
John Gianelli,22,NYK,C,52,,9.9,1.5,3.4,.451,0.4,0.6,.697,2.9,0.5,1.4,3.5,
Toby Kimball,30,KCO,PF,67,,9.6,1.4,3.3,.436,0.7,1.0,.657,2.9,0.4,1.3,3.5,
John Wetzel,28,ATL,SG,28,,18.0,1.5,3.4,.447,0.5,0.6,.824,2.1,1.4,1.5,3.5,
Scott English,22,PHO,SF,29,,6.8,1.2,3.2,.387,0.7,1.0,.724,1.5,0.5,1.3,3.2,
Frank Russell,23,CHI,SG,23,,5.7,1.3,3.3,.377,0.7,0.8,.889,0.7,0.7,0.5,3.2,
John Warren,25,CLE,SG,40,,7.3,1.4,2.8,.486,0.5,0.5,.947,1.1,0.9,1.1,3.2,
Walt Wesley,28,2TM,C,57,,8.3,1.4,3.5,.381,0.5,0.8,.565,2.6,0.5,1.4,3.2,
Art Williams,33,BOS,PG,81,,12.0,1.4,3.2,.421,0.5,0.7,.768,2.2,2.9,1.7,3.2,
Harold Fox,23,BUF,PG,10,,8.4,1.2,3.2,.375,0.7,0.8,.875,0.8,1.0,0.7,3.1,
Dick Gibbs,24,2TM,SF,67,,11.0,1.2,3.3,.360,0.7,0.9,.746,1.4,0.9,1.7,3.1,
Gary Gregor,27,MIL,SF,9,,9.8,1.2,3.7,.333,0.6,0.8,.714,3.6,1.0,1.0,3.0,
Paul Stovall,24,PHO,SF,25,,8.4,1.0,3.0,.342,1.0,1.5,.632,2.4,0.5,1.5,3.0,
John Tschogl,22,ATL,SF,10,,9.4,1.4,4.0,.350,0.2,0.4,.500,2.1,0.6,2.5,3.0,
William Smith,23,POR,C,8,,5.4,1.1,1.9,.600,0.6,1.0,.625,1.0,0.1,1.0,2.9,
Charles Dudley,22,SEA,PG,12,,8.3,0.8,1.9,.435,1.2,1.3,.875,0.5,1.3,1.3,2.8,
Ken Durrett,24,KCO,SF,8,,8.1,1.0,2.6,.381,0.8,1.0,.750,1.8,0.4,2.0,2.8,
Russ Lee,23,MIL,SF,46,,6.0,1.1,2.8,.386,0.7,0.9,.744,0.9,0.8,0.8,2.8,
Eddie Mast,24,ATL,PF,42,,10.6,1.2,2.8,.424,0.5,0.7,.633,3.2,0.9,1.2,2.8,
Steve Patterson,24,CLE,C,62,,11.5,1.1,3.2,.359,0.5,1.0,.523,3.7,0.8,1.3,2.8,
Bob Rule,28,2TM,C,52,0,8.7,1.2,3.0,.380,0.4,0.6,.645,2.1,0.7,1.3,2.7,
Bob Portman,25,GSW,SF,32,,5.5,1.0,2.2,.457,0.6,0.8,.769,1.6,0.2,0.5,2.6,
Justus Thigpen,25,DET,SG,18,,5.5,1.3,3.2,.404,0.0,0.0,,0.5,0.4,1.0,2.6,
Tom Riker,22,NYK,C,14,,4.6,0.7,1.7,.417,1.1,1.7,.625,1.1,0.1,1.1,2.5,
Hank Finkel,30,BOS,C,76,,6.5,1.0,2.3,.451,0.4,0.7,.538,2.0,0.3,1.1,2.4,
Tom Patterson,24,BAL,PF,23,,4.0,0.9,2.1,.429,0.6,0.7,.813,1.0,0.1,0.8,2.4,
Sam Sibert,23,KCO,PF,5,,5.2,0.8,2.6,.308,0.8,1.0,.800,0.8,0.0,0.8,2.4,
George Johnson,25,HOU,C,19,,8.9,1.1,2.1,.513,0.2,0.2,.750,2.4,0.2,1.7,2.3,
Dick Cunningham,26,MIL,C,72,,9.6,0.9,2.2,.410,0.4,0.7,.580,2.9,0.5,1.3,2.2,
Eric McWilliams,22,HOU,PF,44,,5.6,0.8,2.2,.347,0.4,0.8,.486,1.4,0.1,1.0,2.0,
Tom Sanders,34,BOS,SF,59,,7.2,0.8,2.5,.315,0.4,0.6,.657,1.5,0.5,1.4,2.0,
Bill Turner,28,2TM,PF,21,,6.0,0.9,2.8,.328,0.2,0.3,.571,1.3,0.5,0.8,2.0,
Chuck Terry,22,MIL,SF,67,,10.3,0.8,2.4,.340,0.3,0.4,.708,2.2,0.6,1.7,1.9,
Bob Davis,22,POR,SF,9,,4.6,0.7,3.1,.214,0.4,0.7,.667,0.6,0.2,0.6,1.8,
Harthorne Wingo,25,NYK,PF,13,,4.5,0.7,1.7,.409,0.2,0.5,.333,1.2,0.1,0.7,1.5,
Mark Minor,22,BOS,SF,4,,5.0,0.3,1.0,.250,0.8,1.0,.750,1.0,0.5,1.3,1.3,
Bob Nash,22,DET,SF,36,,4.7,0.4,2.0,.222,0.3,0.5,.647,0.9,0.4,0.8,1.2,
Erwin Mueller,28,DET,PF,21,,3.8,0.4,1.5,.290,0.2,0.3,.714,0.7,0.3,0.6,1.1,
Frank Schade,23,KCO,PG,9,,8.4,0.2,0.8,.286,0.7,0.7,1.000,0.7,1.1,1.3,1.1,
Roger Brown,22,LAL,C,1,,5.0,0.0,0.0,,1.0,3.0,.333,0.0,0.0,1.0,1.0,
Pete Cross,24,2TM,C,29,,5.4,0.2,0.9,.240,0.3,0.6,.444,2.1,0.4,1.0,0.7,
Luther Green,26,PHI,PF,5,0,6.4,0.0,2.2,.000,0.6,1.8,.333,0.6,0.0,0.6,0.6,
Harvey Marlatt,24,DET,SG,7,,3.7,0.3,0.6,.500,0.0,0.0,,0.1,0.6,0.1,0.6,
Luther Rackley,26,NYK,C,1,,2.0,0.0,0.0,,0.0,0.0,,1.0,0.0,2.0,0.0,
