Player,Age,Team,Pos,G,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Warren Perkins,28,TRI,,66,2.0,6.5,.315,1.9,3.0,.646,4.8,2.2,3.5,6.0,
Bob Harrison,23,MNL,,68,2.2,6.4,.347,1.5,1.9,.789,2.5,2.9,3.2,5.9,
Bob Carpenter,33,2TM,,56,1.9,6.0,.325,1.9,2.3,.820,4.1,1.4,2.1,5.8,
Vern Gardner,25,PHW,SG,61,2.1,6.3,.337,1.1,1.6,.711,3.9,1.5,2.4,5.4,
Curly Armstrong,32,FTW,,38,1.9,6.1,.310,1.5,2.4,.644,2.3,2.0,2.6,5.3,
Arnie Ferrin,25,MNL,,68,1.8,5.5,.319,1.7,2.4,.695,4.0,1.6,3.2,5.2,
Norm Mager,24,BLB,,24,1.7,5.9,.282,1.8,2.3,.786,2.0,1.0,2.8,5.2,
Bob Harris,23,2TM,,56,1.8,5.3,.332,1.5,2.3,.677,5.2,1.1,2.8,5.0,
George Kaftan,22,NYK,SF,61,1.8,4.7,.388,1.3,2.0,.624,2.5,1.2,1.7,4.9,
Gene Vance,27,TRI,,29,1.6,3.9,.404,1.6,2.3,.701,3.2,2.0,3.4,4.8,
Don Carlson,31,BLB,,9,1.9,5.1,.370,0.9,1.8,.500,1.7,2.1,2.6,4.7,
Tommy Byrnes,27,3TM,,47,1.7,5.7,.303,1.2,1.8,.655,1.5,1.5,1.7,4.6,
John Mahnken,28,2TM,C,58,1.9,6.1,.316,0.8,1.2,.643,3.8,1.3,2.8,4.6,
Ron Livingstone,25,PHW,,63,1.7,5.6,.295,1.2,1.7,.697,4.7,1.2,3.5,4.5,
Gerry Calabrese,25,SYR,SG,46,1.5,4.3,.355,1.3,1.9,.693,1.4,1.4,1.7,4.4,
Billy Hassett,29,BLB,,31,1.5,5.2,.281,1.4,2.0,.683,1.1,1.5,2.3,4.3,
Kevin O'Shea,25,MNL,,63,1.4,4.2,.326,1.5,2.1,.724,2.0,1.6,1.6,4.3,
Jim Riffey,27,FTW,,35,1.9,5.3,.351,0.6,0.7,.769,1.7,0.5,1.5,4.3,
Pep Saul,26,ROC,SG,65,1.6,4.8,.339,1.1,1.6,.686,1.3,1.0,1.3,4.3,
John Hargis,30,2TM,,29,1.7,4.4,.378,0.9,1.4,.643,2.3,0.9,2.0,4.2,
Gene James,25,2TM,,48,1.6,4.9,.336,0.9,1.5,.620,2.9,1.5,2.5,4.2,
Ed Bartels,25,WSC,,17,1.4,5.7,.247,1.4,2.7,.522,4.9,0.7,3.2,4.2,
Mal McMullen,23,INO,,51,1.5,5.4,.282,0.9,1.6,.585,2.5,0.6,2.1,4.0,
Don Lofgran,21,2TM,,61,1.3,4.4,.293,1.3,2.1,.622,2.6,0.6,2.2,3.9,
Joe Dolhon,23,BLB,,13,1.3,4.3,.304,1.3,1.8,.739,1.4,1.5,2.5,3.9,
Dick O'Keefe,27,WSC,,17,1.2,6.0,.206,1.5,2.3,.641,2.2,1.5,2.8,3.9,
Tommy O'Keefe,22,2TM,,6,1.7,4.7,.357,0.5,0.7,.750,1.2,1.7,0.8,3.8,
Tony Jaros,30,MNL,,63,1.4,4.6,.307,1.0,1.6,.631,2.1,1.1,2.1,3.8,
Ed Gayda,23,TRI,,15,1.3,3.1,.413,1.2,1.6,.750,2.6,0.9,2.3,3.7,
Tex Ritter,26,NYK,,34,1.1,3.0,.379,1.4,2.1,.690,1.9,1.1,1.5,3.7,
Ray Corley,23,2TM,,34,1.4,4.5,.303,0.9,1.6,.545,2.3,1.8,1.5,3.6,
Bruce Hale,32,INO,,26,1.5,5.2,.296,0.5,0.9,.609,1.9,1.6,1.2,3.6,
Hank DeZonie,28,TRI,,5,1.2,5.0,.240,1.0,1.4,.714,3.6,1.8,1.2,3.4,
Chuck Mrazovich,26,INO,,25,1.1,3.2,.350,1.2,1.9,.604,1.6,0.5,2.1,3.4,
Herb Scherer,22,TRI,C,20,1.2,4.2,.286,1.0,1.8,.571,2.5,0.9,2.8,3.4,
Tony Lavelli,24,NYK,,30,1.1,3.1,.344,1.2,1.4,.854,2.0,0.8,1.9,3.3,
Chuck Gilmur,28,WSC,,16,1.1,3.8,.279,1.1,2.0,.531,4.7,1.1,3.6,3.2,
Ed Stanczak,29,BOS,,19,0.6,2.6,.240,1.9,2.4,.800,1.9,0.4,2.5,3.2,
Nelson Bobb,26,PHW,PG,53,1.0,3.0,.329,0.8,1.5,.557,1.9,1.5,1.6,2.8,
Cliff Barker,30,INO,SG,56,0.9,3.6,.252,0.9,1.4,.649,1.8,2.1,1.8,2.7,
Ike Borsavage,26,PHW,,24,1.1,3.1,.351,0.5,0.8,.667,1.0,0.2,1.4,2.7,
Bud Grant,23,MNL,,61,0.9,3.0,.288,0.9,1.4,.627,1.9,1.2,1.7,2.6,
Joe Hutton,22,MNL,SG,60,1.0,3.0,.328,0.5,0.7,.674,1.7,0.9,1.5,2.5,
Paul Noel,26,ROC,,52,0.9,3.3,.282,0.6,0.9,.711,1.6,0.7,1.2,2.5,
Leo Mogus,29,PHW,,57,0.8,2.1,.352,0.9,1.5,.616,1.8,0.6,1.1,2.4,
Art Burris,26,FTW,SF,33,0.8,3.4,.248,0.6,1.1,.583,3.2,0.8,1.5,2.3,
Johnny Norlander,29,WSC,,9,0.7,1.8,.375,1.0,1.6,.643,1.0,0.6,1.6,2.3,
Andy Duncan,28,BOS,,14,0.5,2.9,.175,1.1,1.6,.682,2.1,0.6,2.3,2.1,
Joe McNamee,24,ROC,SF,60,0.8,2.8,.287,0.5,0.7,.643,1.7,0.3,1.5,2.1,
Ed Beach,22,2TM,,12,0.7,3.2,.211,0.5,0.8,.667,2.1,0.3,1.2,1.8,
Leroy Chollet,25,SYR,,14,0.4,3.6,.118,0.9,1.4,.632,1.1,0.9,2.1,1.7,
Carl Shaeffer,26,INO,,10,0.6,2.2,.273,0.3,0.3,1.000,1.0,0.6,1.5,1.5,
Ray Ellefson,28,NYK,,3,0.0,1.3,.000,1.3,1.3,1.000,2.7,0.0,2.0,1.3,
Leon Blevins,24,INO,,2,0.5,2.0,.250,0.0,0.5,.000,1.0,0.5,1.5,1.0,
Easy Parham,29,PHW,,7,0.3,0.9,.333,0.3,0.9,.333,1.3,0.3,0.3,0.9,
