Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Tom Meschery,32,SEA,PF,79,,23.1,3.6,7.8,.463,2.1,2.7,.750,6.1,1.4,2.6,9.3,
Charlie Paulk,24,CIN,PF,68,,17.8,4.0,9.4,.430,1.2,1.9,.603,4.7,0.4,2.7,9.2,
Cazzie Russell,26,NYK,SF,57,,18.5,3.8,8.8,.429,1.6,2.1,.773,3.4,1.4,1.3,9.2,
Bob Boozer,33,MIL,PF,80,,22.2,3.6,8.1,.450,1.9,2.3,.818,5.4,1.6,2.7,9.1,
Otto Moore,24,DET,C,82,,23.5,3.8,8.5,.445,1.5,2.7,.553,8.5,1.1,2.2,9.0,
Jerry Chambers,27,ATL,SF,65,,18.0,3.6,8.1,.451,1.6,2.1,.791,3.8,0.9,1.8,8.9,
Shaler Halimon,25,2TM,SG,81,,20.4,3.7,9.7,.384,1.3,2.0,.660,5.1,2.7,2.3,8.8,
Jim McMillian,22,LAL,SF,81,,21.6,3.6,7.8,.459,1.2,1.6,.769,4.1,1.6,1.5,8.4,
Jim Davis,29,ATL,C,82,,22.7,2.9,6.1,.479,2.4,3.5,.677,6.7,1.3,3.1,8.3,
Art Harris,24,PHO,PG,56,,17.0,3.6,8.6,.411,1.2,2.0,.611,1.8,2.4,2.4,8.3,
Steve Mix,23,DET,SF,35,,20.9,3.2,7.1,.446,1.9,2.5,.764,4.7,1.0,2.1,8.3,
Howard Komives,29,DET,PG,82,,23.6,3.4,8.7,.385,1.5,1.8,.801,1.9,3.2,2.2,8.2,
Dale Schlueter,25,POR,C,80,,22.8,3.2,6.6,.488,1.8,2.7,.656,7.9,2.4,3.3,8.2,
Bill Hosket,24,BUF,PF,13,,16.7,3.6,6.9,.522,0.8,1.3,.647,5.8,1.5,2.1,8.1,
Darrall Imhoff,32,CIN,C,34,,24.3,3.5,7.6,.461,1.1,2.1,.507,6.9,2.3,3.5,8.1,
Pete Cross,22,SEA,C,79,,27.8,3.1,7.0,.442,1.8,2.6,.690,12.0,1.4,2.7,8.0,
Rich Johnson,24,BOS,C,1,,13.0,4.0,5.0,.800,0.0,0.0,,5.0,0.0,3.0,8.0,
