Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Tom McMillen,26,ATL,C,82,0,17.0,2.8,6.1,.466,1.3,1.5,.891,1.6,2.5,4.0,0.8,0.2,0.4,1.1,2.6,7.0,
Clifford Ray,30,GSW,C,82,,23.4,2.8,5.4,.526,1.3,2.3,.558,2.6,4.8,7.4,1.7,0.6,0.6,1.9,3.2,6.9,
Marlon Redmond,23,2TM,SG,53,0,14.3,3.1,7.3,.421,0.6,0.9,.620,1.1,1.0,2.1,1.1,0.5,0.3,1.1,1.8,6.7,
Don Ford,26,LAL,PF,79,,19.5,2.9,5.7,.507,0.9,1.1,.809,1.1,2.3,3.4,1.3,0.6,0.3,1.2,2.2,6.7,
James Hardy,22,NOJ,SF,68,,21.4,2.9,6.3,.460,0.9,1.3,.693,1.8,2.8,4.6,1.0,0.8,0.9,1.4,2.0,6.7,
Ben Poquette,23,DET,PF,76,,17.6,2.6,6.1,.427,1.5,1.9,.782,1.3,3.1,4.4,0.8,0.5,1.3,0.9,2.6,6.7,
Curtis Rowe,29,BOS,PF,53,,23.1,2.8,6.5,.436,1.0,1.4,.693,1.5,3.1,4.6,1.3,0.3,0.2,1.7,2.0,6.7,
Alvin Scott,23,PHO,SF,81,,21.4,2.6,4.9,.535,1.5,2.1,.714,1.3,3.2,4.4,1.6,1.0,0.8,1.2,1.7,6.7,
Jan van Breda Kolff,27,NJN,SF,80,,25.0,2.5,5.3,.463,1.8,2.3,.798,1.4,3.4,4.8,2.3,1.1,0.9,1.7,2.9,6.7,
Rickey Green,24,DET,PG,27,,16.0,2.5,6.6,.379,1.7,2.5,.672,0.6,0.9,1.5,2.3,0.9,0.0,1.6,1.4,6.6,
George Johnson,30,NJN,C,78,,26.4,2.6,6.2,.427,1.3,1.8,.761,2.6,5.3,7.9,1.1,0.9,3.2,2.3,4.0,6.6,
Wally Walker,24,SEA,SF,60,,16.2,2.8,5.7,.490,1.0,1.6,.604,1.1,1.9,3.0,1.2,0.2,0.4,1.1,2.1,6.6,
Coby Dietrick,30,SAS,C,76,,19.6,2.8,5.3,.523,1.0,1.3,.798,1.2,3.0,4.1,2.6,0.9,0.5,1.2,2.7,6.5,
Kevin Kunnert,27,SDC,C,81,,20.8,2.9,6.2,.467,0.7,1.0,.659,2.5,4.5,7.0,1.4,0.6,1.5,1.7,3.8,6.5,
Michael Ray Richardson,23,NYK,PG,72,,16.9,2.8,6.7,.414,1.0,1.8,.539,1.1,2.2,3.2,3.0,1.4,0.3,2.0,2.6,6.5,
Elmore Smith,29,CLE,C,24,,13.8,2.9,5.4,.531,0.8,1.1,.692,1.9,2.5,4.4,0.5,0.3,0.7,1.8,2.5,6.5,
Allan Bristow,27,SAS,SF,74,,17.9,2.4,4.8,.492,1.7,2.0,.832,1.1,2.3,3.3,3.1,0.8,0.2,1.5,2.1,6.4,
Bob Nash,28,KCK,SF,82,,15.9,2.8,6.4,.435,0.8,1.0,.802,0.9,1.6,2.5,0.9,0.4,0.2,1.0,1.6,6.4,
Robert Smith,23,DEN,PG,82,,18.0,2.2,5.3,.422,1.9,2.2,.883,0.5,1.3,1.8,2.5,0.7,0.2,1.2,2.0,6.4,
Gar Heard,30,PHO,PF,63,,19.3,2.6,5.8,.441,1.1,1.6,.689,1.6,4.0,5.6,1.0,0.8,0.9,1.0,2.2,6.3,
Phil Jackson,33,NJN,PF,59,,18.1,2.4,5.1,.475,1.5,1.8,.819,1.0,2.0,3.0,1.4,0.8,0.4,1.3,2.8,6.3,
Al Skinner,26,2TM,SG,45,0,14.3,2.0,4.8,.425,2.2,2.5,.868,0.6,1.3,1.9,2.0,0.9,0.1,1.6,2.5,6.2,
Ralph Simpson,29,2TM,SG,69,0,14.2,2.5,6.3,.402,1.1,1.6,.685,0.5,0.9,1.4,1.8,0.5,0.1,1.4,0.8,6.1,
Marty Byrnes,22,2TM,SF,79,,16.0,2.4,4.9,.481,1.3,1.9,.688,1.1,1.3,2.4,1.3,0.3,0.1,1.5,1.4,6.1,
Earl Williams,27,BOS,C,20,,13.7,2.7,6.2,.439,0.7,1.2,.583,2.1,3.2,5.3,0.6,0.6,0.5,1.0,2.1,6.1,
Tom Abernethy,24,GSW,PF,70,,17.4,2.5,4.9,.515,1.0,1.3,.745,1.1,2.0,3.1,1.1,0.6,0.2,0.5,1.9,6.0,
Don Chaney,32,BOS,SG,65,,16.5,2.7,6.4,.420,0.6,0.6,.857,1.0,1.2,2.2,1.2,1.1,0.2,1.0,2.6,5.9,
Joel Kramer,23,PHO,PF,82,,17.1,2.2,4.5,.489,1.5,2.1,.710,1.6,2.5,4.1,1.1,0.5,0.3,1.2,2.7,5.9,
Phil Chenier,28,WSB,SG,27,,14.3,2.6,5.9,.437,0.7,1.0,.643,0.1,0.6,0.7,1.1,0.1,0.2,1.1,1.0,5.8,
Frankie Sanders,22,2TM,SF,46,,10.4,2.3,5.3,.427,1.2,1.5,.794,0.8,1.6,2.4,1.1,0.5,0.1,1.2,1.5,5.7,
Dwight Jones,26,HOU,C,81,,15.0,2.2,4.9,.458,1.2,1.6,.727,1.4,2.7,4.0,0.7,0.4,0.3,1.3,2.5,5.7,
Paul Silas,35,SEA,PF,82,,23.9,2.1,4.9,.423,1.4,2.4,.598,3.2,3.9,7.0,1.4,0.4,0.2,1.2,2.2,5.6,
Charlie Criss,30,ATL,PG,54,1,16.3,2.0,5.4,.377,1.2,1.6,.779,0.4,0.8,1.1,2.6,0.8,0.1,1.5,1.3,5.3,
Jim Price,29,LAL,PG,75,,16.1,2.3,4.6,.497,0.7,1.1,.696,0.3,1.3,1.6,2.9,0.9,0.2,1.3,1.7,5.3,
Lucius Allen,31,KCK,PG,31,,13.3,2.2,5.6,.397,0.6,1.1,.576,0.5,1.0,1.5,1.4,0.7,0.2,1.0,1.7,5.1,
Lars Hansen,24,SEA,C,15,,13.7,1.9,3.8,.509,1.2,2.1,.581,1.5,2.5,3.9,0.9,0.1,0.1,0.6,1.9,5.1,
John Brown,27,CHI,SF,77,,16.4,2.0,4.1,.479,1.1,1.3,.857,1.1,2.0,3.1,1.4,0.2,0.1,1.2,2.3,5.0,
Glen Gondrezick,23,NYK,SF,75,,21.4,2.1,4.3,.494,0.7,1.3,.567,2.0,3.7,5.7,1.4,1.3,0.2,1.3,3.0,5.0,
Kenny Higgs,24,CLE,PG,68,,15.4,1.9,4.1,.455,1.3,1.6,.766,0.3,1.2,1.5,2.1,1.0,0.2,0.7,2.6,5.0,
Lloyd Walton,25,MIL,PG,75,,18.4,2.1,4.4,.480,0.8,1.2,.678,0.5,0.9,1.4,4.7,1.0,0.1,1.6,1.4,5.0,
Dave Robisch,29,LAL,C,80,,15.2,1.9,4.2,.446,1.1,1.4,.748,1.0,2.5,3.6,1.2,0.3,0.3,0.7,1.4,4.8,
Corky Calhoun,28,IND,SF,81,0,16.4,1.9,4.1,.457,0.9,1.1,.837,0.8,2.1,2.9,1.3,0.5,0.2,0.7,2.3,4.7,
Wesley Cox,24,GSW,SF,31,,11.6,1.7,4.0,.431,1.3,3.0,.435,0.6,1.5,2.0,0.4,0.4,0.2,1.4,2.2,4.7,
John Lambert,26,CLE,PF,70,,14.7,2.1,4.7,.450,0.5,0.8,.636,1.7,2.5,4.1,0.6,0.4,0.4,0.9,2.3,4.7,
Raymond Townsend,23,GSW,SG,65,,11.9,2.0,4.4,.439,0.8,1.0,.735,0.2,0.7,0.8,1.4,0.4,0.1,0.8,1.1,4.7,
Harvey Catchings,27,2TM,C,57,4,16.6,1.8,4.3,.420,1.1,1.4,.769,1.8,3.5,5.3,0.8,0.4,1.6,1.5,2.3,4.6,
Wayne Cooper,22,GSW,C,65,,12.2,2.0,4.5,.437,0.6,0.9,.672,1.4,2.9,4.3,0.3,0.1,0.7,0.8,1.8,4.6,
Ted McClain,32,PHO,SG,36,,12.9,1.7,3.7,.470,1.2,1.3,.913,0.7,1.2,1.9,1.7,0.5,0.0,1.5,1.4,4.6,
Ira Terrell,24,2TM,SF,49,,14.9,1.9,4.0,.470,0.7,1.1,.660,0.9,2.1,3.0,0.8,0.4,0.6,1.1,2.0,4.5,
Bubbles Hawkins,24,DET,SG,4,,7.0,1.5,4.0,.375,1.5,1.5,1.000,0.8,0.8,1.5,1.0,1.3,0.0,0.5,1.8,4.5,
Willie Smith,25,POR,PG,13,,10.1,1.8,3.4,.523,0.9,1.3,.706,0.5,0.5,1.0,1.3,0.8,0.1,1.1,1.5,4.5,
Ron Behagen,28,3TM,PF,15,,11.0,1.9,4.1,.452,0.7,0.9,.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4,
Kevin Stacom,27,2TM,SG,68,0,12.2,1.9,5.0,.374,0.6,0.9,.733,0.4,0.8,1.3,1.6,0.4,0.0,1.2,0.7,4.4,
Tom Barker,23,3TM,C,39,,12.2,1.7,4.0,.436,0.7,0.9,.730,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2,
Otis Howard,22,2TM,PF,14,,8.1,1.7,4.0,.429,0.8,1.6,.478,1.3,1.6,2.9,0.4,0.1,0.1,0.5,1.7,4.2,
Len Elmore,26,IND,C,80,0,15.8,1.7,4.3,.406,0.7,1.0,.718,1.4,3.6,5.0,0.9,0.8,1.0,0.9,2.3,4.2,
Harry Davis,23,CLE,SF,40,,9.9,1.7,3.8,.431,0.8,1.1,.698,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.7,4.1,
Joe Hassett,23,SEA,SG,55,,8.4,1.8,3.8,.474,0.4,0.4,1.000,0.2,0.6,0.8,0.8,0.3,0.1,0.6,1.1,4.1,
Bayard Forrest,24,PHO,C,75,,16.6,1.6,3.6,.434,0.8,1.5,.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2.0,4.0,
Scott May,24,CHI,SF,37,,10.9,1.6,3.7,.434,0.8,1.1,.750,0.4,1.4,1.7,1.1,0.6,0.0,1.4,1.4,4.0,
Jim Brewer,27,2TM,PF,80,,20.1,1.8,4.0,.442,0.3,0.8,.413,2.0,4.0,5.9,1.1,0.8,0.8,1.2,2.2,3.9,
Tim Bassett,27,NJN,PF,82,,18.4,1.4,3.8,.371,1.1,1.6,.679,2.1,3.0,5.1,1.2,0.5,0.4,1.3,2.7,3.9,
Louie Dampier,34,SAS,PG,70,,10.9,1.8,3.6,.490,0.4,0.6,.744,0.2,0.7,0.9,1.8,0.5,0.1,0.6,0.6,3.9,
Tommie Green,22,NOJ,PG,59,,13.7,1.6,4.0,.388,0.8,1.1,.762,0.3,0.8,1.2,2.4,1.0,0.1,1.5,1.9,3.9,
Paul Griffin,25,NOJ,PF,77,,18.2,1.4,2.9,.475,1.2,1.9,.619,1.6,3.4,5.1,1.8,0.7,0.5,1.5,2.6,3.9,
Wayne Radford,22,IND,SG,52,2,12.5,1.6,3.4,.474,0.7,0.9,.800,0.5,0.8,1.3,1.1,0.6,0.0,0.9,1.2,3.9,
Gus Gerard,25,2TM,SF,58,,8.0,1.4,3.3,.433,0.9,1.6,.549,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.3,3.8,
Jackie Robinson,23,SEA,SF,12,,8.8,1.6,3.4,.463,0.7,1.3,.533,0.8,0.8,1.6,1.1,0.4,0.1,0.9,0.8,3.8,
Brian Taylor,27,SDC,PG,20,,10.6,1.5,4.2,.361,0.8,0.9,.889,0.7,0.7,1.3,1.0,1.2,0.0,0.9,1.7,3.8,
Dick Snyder,34,SEA,SG,56,,9.6,1.4,3.3,.433,0.8,0.9,.843,0.3,0.6,0.9,1.1,0.3,0.1,0.6,0.9,3.7,
Slick Watts,27,HOU,PG,61,,17.1,1.5,3.7,.405,0.7,1.1,.612,0.6,1.1,1.7,4.0,1.2,0.2,1.2,2.3,3.7,
Jim McMillian,30,POR,SF,23,,12.1,1.4,3.2,.446,0.7,0.9,.810,0.7,1.0,1.7,1.4,0.4,0.1,0.7,0.8,3.6,
Sam Smith,24,MIL,SF,16,,7.8,1.2,2.9,.404,1.1,1.5,.750,0.0,0.6,0.6,1.0,0.5,0.4,0.5,0.8,3.5,
Glenn Mosley,23,SAS,PF,26,,8.5,1.2,2.9,.413,0.9,1.5,.605,1.0,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3,
Clemon Johnson,22,POR,C,74,,10.7,1.4,2.9,.470,0.5,1.0,.486,1.1,1.9,3.1,1.1,0.3,0.5,0.9,1.6,3.2,
John Rudd,23,NYK,SF,58,,12.5,1.0,2.3,.444,1.1,1.6,.710,1.2,1.7,2.9,0.6,0.3,0.1,1.0,1.6,3.2,
Butch Beard,31,NYK,PG,7,,12.1,1.6,3.7,.423,0.0,0.0,,0.1,1.3,1.4,2.7,1.0,0.0,1.4,1.9,3.1,
Ron Carter,22,LAL,SG,46,,7.2,1.2,2.7,.435,0.8,1.2,.667,0.5,0.5,1.0,0.5,0.4,0.2,0.9,1.2,3.1,
Kim Anderson,23,POR,SF,21,,10.7,1.1,3.7,.312,0.7,1.3,.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0,
Dave Corzine,22,WSB,C,59,,9.0,1.1,2.0,.534,0.8,1.1,.778,0.9,1.6,2.5,0.8,0.2,0.2,0.9,1.1,3.0,
Tony Robertson,23,GSW,SG,12,,6.2,1.3,3.3,.375,0.5,0.8,.667,0.5,0.3,0.8,0.3,0.7,0.0,0.7,0.8,3.0,
Rick Wilson,22,ATL,SG,61,0,9.7,1.3,3.2,.411,0.4,0.7,.545,0.3,0.9,1.2,1.2,0.5,0.1,0.7,1.1,3.0,
Brad Davis,23,2TM,PG,27,0,11.0,1.1,2.0,.564,0.6,0.9,.696,0.0,0.6,0.6,1.9,0.6,0.1,0.6,1.2,2.9,
Bob Bigelow,25,SDC,SF,29,,14.2,1.2,3.1,.400,0.4,0.7,.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9,
Keith Herron,22,ATL,SG,14,0,5.8,1.0,3.4,.292,0.9,0.9,.923,0.3,0.4,0.7,0.2,0.4,0.1,0.4,0.8,2.9,
Alonzo Bradley,25,HOU,SF,34,,7.2,1.1,2.6,.420,0.6,1.0,.667,0.4,1.0,1.4,0.5,0.1,0.0,0.5,1.0,2.8,
Jacky Dorsey,24,HOU,SF,20,,5.4,1.2,2.2,.558,0.4,0.8,.500,0.6,0.6,1.2,0.1,0.1,0.1,0.4,1.3,2.8,
Essie Hollis,23,DET,SF,25,,6.2,1.2,3.0,.400,0.4,0.5,.750,0.8,1.0,1.8,0.2,0.4,0.0,0.6,1.1,2.8,
Roger Phegley,22,WSB,SG,29,,5.3,1.0,2.7,.359,0.8,1.0,.828,0.2,0.6,0.8,0.5,0.2,0.1,0.6,0.7,2.8,
Norm Van Lier,31,MIL,PG,38,,14.6,0.8,2.0,.390,1.2,1.4,.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8,
Charles Dudley,28,CHI,PG,43,,15.9,1.0,2.9,.360,0.7,1.0,.667,0.6,1.4,2.0,2.7,0.7,0.0,1.5,1.9,2.7,
Bo Ellis,24,DEN,PF,42,,6.4,1.0,2.2,.457,0.7,0.9,.806,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.1,2.7,
Steve Green,25,IND,SF,39,0,6.8,1.1,2.3,.472,0.5,0.9,.588,0.6,0.8,1.3,0.5,0.3,0.1,0.4,1.0,2.7,
Kim Hughes,26,DEN,C,81,,13.4,1.2,2.2,.538,0.2,0.6,.400,1.4,2.8,4.1,0.9,0.7,1.3,1.0,2.7,2.6,
Larry McNeill,28,DET,PF,11,,4.2,0.8,1.8,.450,1.0,1.1,.917,0.3,0.6,0.9,0.3,0.0,0.0,0.4,0.6,2.6,
Tate Armstrong,23,CHI,SG,26,,10.0,1.1,2.7,.400,0.4,0.5,.769,0.3,0.5,0.8,1.2,0.4,0.0,0.8,0.8,2.5,
Andre Wakefield,24,2TM,SG,73,,8.0,0.8,2.4,.350,0.7,0.9,.696,0.3,0.7,1.0,1.0,0.3,0.0,1.0,1.0,2.4,
Greg Bunch,22,NYK,SF,12,,8.1,0.8,2.2,.346,0.8,1.0,.833,0.8,0.7,1.4,0.3,0.3,0.3,0.4,0.8,2.3,
Lloyd Neal,28,POR,PF,4,,12.0,1.0,2.8,.364,0.3,0.3,1.000,0.5,1.8,2.3,0.3,0.0,0.3,1.5,1.8,2.3,
Steve Sheppard,24,2TM,SF,42,,6.6,0.9,1.8,.474,0.5,0.8,.588,0.6,0.5,1.1,0.5,0.2,0.0,0.6,0.6,2.2,
Richard Washington,23,KCK,PF,18,,8.9,0.8,2.3,.341,0.6,0.9,.625,0.6,2.1,2.7,0.4,0.4,0.2,0.8,1.7,2.1,
Dennis Awtrey,30,2TM,C,63,,11.8,0.7,1.7,.411,0.7,0.9,.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2.0,
Gus Bailey,27,NOJ,SG,2,,4.5,1.0,3.5,.286,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.0,
Michael Cooper,22,LAL,SG,3,,2.3,1.0,2.0,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,2.0,
Ray Epps,22,GSW,SF,13,,5.5,0.8,1.8,.435,0.5,0.6,.750,0.0,0.4,0.4,0.2,0.1,0.0,0.2,0.5,2.0,
Phil Hicks,26,DEN,SF,20,,6.4,0.9,2.2,.419,0.2,0.3,.600,0.7,0.8,1.4,0.4,0.3,0.0,0.7,1.0,2.0,
E.C. Coleman,28,HOU,PF,6,,6.5,0.8,1.2,.714,0.2,0.2,1.000,0.2,1.0,1.2,0.2,0.3,0.0,0.0,1.8,1.8,
Scott Lloyd,26,2TM,C,72,,6.9,0.6,1.7,.344,0.4,0.7,.574,0.7,0.7,1.3,0.4,0.1,0.1,0.7,1.3,1.5,
John Kuester,23,DEN,PG,33,,6.4,0.5,1.6,.308,0.4,0.4,.929,0.2,0.2,0.4,1.1,0.5,0.0,0.6,0.9,1.4,
Geoff Crompton,23,DEN,C,20,,4.4,0.5,1.3,.385,0.3,0.6,.500,0.3,0.9,1.2,0.3,0.0,0.2,0.6,1.0,1.3,
John Olive,23,SDC,SF,34,,5.6,0.4,1.2,.325,0.5,0.7,.783,0.1,0.5,0.6,0.1,0.1,0.0,0.4,0.9,1.3,
Dennis Boyd,24,DET,PG,5,,8.0,0.6,2.4,.250,0.0,0.0,,0.0,0.4,0.4,1.4,0.0,0.0,1.2,1.0,1.2,
Jerome Whitehead,22,SDC,C,31,,4.9,0.5,1.1,.441,0.3,0.6,.444,0.5,1.1,1.6,0.2,0.1,0.1,0.4,0.9,1.2,
Stan Pietkiewicz,22,SDC,SG,4,,8.0,0.3,2.0,.125,0.5,0.5,1.000,0.0,1.5,1.5,0.8,0.3,0.0,0.3,1.3,1.0,
Del Beshore,22,MIL,PG,1,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
